"orderid","lineid","productid","qtyordered","itemprice","voided","voiddate","fillsiteid","filllocationid","commissiontype","spiff","originalinventorycost","filldate","inventorycostdate","inventoryreceiptdate","addeddate","fillfromsiteid","fillfromlocationid","mainorderid","packageid","salesperson1","salesperson2","percentofsale1","percentofsale2","picked","upcharge","discount","valueforproductid","valueforlineid","valueproductid","valueproductlineid","warrantyproductid","warrantyproductlineid","deliverypoints","takenwith","setup","pickupdiscount","setupcommission","deliverycommission","taxruleid","taxliability","taxbasis","customertax","retailertax","priceauthorizedby","leaveincarton","outletid","outletstatusid","outletdate","serialnumber","outletcomment","originalprice","originalalacarteprice","originalregularprice","promotionid","adjustmentreasonid","autoadjusteduid","autoadjustedvoided","storecardloaded","addedbyapp","interfacedforsalescube","interfacedforforecasting","auditaction","oldorderid","oldlineid","priceoverridereason","lineadded","totalothercost","deleteline","returnlinematched"
"0710555IB47",1,"691825608",1.00,591.81,N,,"01",DC,Z,,279.98,2025-07-10 11:29:45.651,2025-05-30 00:00:00.000,2025-05-30 00:00:00.000,,,,"0710555IB47",,pz,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,591.81,591.81,591.81,,,,,,2025-07-10 11:29:45.064,Y,N,U,,0,,,42.00,,N
"0710555IB86",10,"384302933",1.00,133.17,Y,2025-07-10 00:00:00.000,,,Z,,,,,,,,,"0710555IB86","119367776",mka,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,133.17,0.00,0.00,,,,,,2025-07-10 12:01:45.301,Y,N,I,,0,,,11.25,,N
"0710555IC85",1,"825159413",1.00,0.00,N,,,,Z,,,,,,,,,"0710555IC85",,nkr,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,778.98,778.98,778.98,,,,,,2025-07-10 12:45:41.750,Y,N,I,,0,,,0.00,,N
"0710555ID44",7,"150-NOMOVE",1.00,0.00,N,,,,Z,,,,,,,,,"0710555ID44",,mka,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 13:55:01.368,Y,N,U,,0,,,0.00,,N
"0710555ID73",2,DECLINE,1.00,0.00,N,,,,Z,,,,,,,,,"0710555ID73",,pz,,100.000,,,,0.00,,,,,,,0,N,N,,N,N,,,,,,,N,,,,,,0.00,0.00,0.00,,,,,,2025-07-10 14:09:00.663,Y,N,I,,0,,,0.00,,N
"0710555IF48",2,"548809466",1.00,198.24,N,,"01",DC,Z,,135.00,2025-07-10 15:19:53.507,2025-05-15 00:00:00.000,2025-05-15 00:00:00.000,,,,"0710555IF48",,pja,,100.000,,,,0.00,,,,,,,18,N,N,,N,N,,,,,,,N,,,,,,198.24,198.24,198.24,,,,,,2025-07-10 15:19:52.864,Y,N,U,,0,,,38.56,,N
"0710555IF89",4,"976042235",1.00,288.62,Y,2025-07-10 00:00:00.000,,,Z,,,,,,,,,"0710555IF89",,pja,,100.000,,,,0.00,,,,,,,19,N,N,,N,N,,,,,,,N,,,,,,288.62,288.62,288.62,,,,,,2025-07-01 15:34:26.441,Y,N,U,,0,,,5.43,,N
"0710555IG48",5,"357180237",1.00,530.41,Y,2025-07-10 00:00:00.000,,,Z,,,,,,,,,"0710555IG48","662605705",egb,,100.000,,,,0.00,,,,,,,25,N,N,,N,N,,,,,,,N,,,,,,530.41,0.00,0.00,,,,,,2025-07-10 16:00:58.211,Y,N,U,,0,,,0.00,,N
"0710555IG48",12,"199743636",1.00,321.54,N,,,,Z,,,,,,,,,"0710555IG48","375353823",egb,,100.000,,,,0.00,,,"4YEARFCP",16,,,12,N,N,,N,N,,,,,,,N,,,,,,321.54,0.00,0.00,,,,,,2025-07-10 16:07:58.562,Y,N,I,,0,,,0.00,,N
"0710555IH92",2,"399899726",1.00,87.25,N,,,,Z,,,,,,,,,"0710555IH92",,mka,,100.000,,,,0.00,,,,,,,3,N,N,,N,N,,,,,,,N,,,,,,87.25,87.25,87.25,,,,,,2025-07-10 17:25:31.115,Y,N,I,,0,,,0.00,,N
